id,name,place_type,gmina,powiat,wojewodztwo,lat,lon,country,source
26688,Podbucze,village,Godów,wodzisławski,śląskie,49.950744345357,18.464506258323,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26689,Podbuszyce,village,Wiskitki,żyrardowski,mazowieckie,52.12250981106461,20.415855894772807,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26690,Podbór,village,Tyszowce,tomaszowski,lubelskie,50.6253339500101,23.6953960092787,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26691,Podcabaje,village,Brzeźnio,sieradzki,łódzkie,51.4938593323737,18.5949874796315,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26692,Podchojny,village,Jędrzejów,jędrzejowski,świętokrzyskie,50.6648026266195,20.3196604621274,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26693,Podchybie,village,Lanckorona,wadowicki,małopolskie,49.89127868647944,19.77319077050965,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26694,Podchybie,village,Trzyciąż,olkuski,małopolskie,50.327960113889,19.759646507846,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26695,Podchyby,village,Mniów,kielecki,świętokrzyskie,51.0450999828225,20.5237192195188,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26696,Podciernie,village,Cegłów,miński,mazowieckie,52.096461302921,21.798147891301,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26697,Podcisówek,village,Sztabin,augustowski,podlaskie,53.735184584409,23.093390218363,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26698,Podczachy,village,Kutno,kutnowski,łódzkie,52.2334857297795,19.2859575739862,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26699,Podczachy,village,Pacyna,gostyniński,mazowieckie,52.3007407256895,19.7493635183873,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26700,Podczasza Wola,village,Klwów,przysuski,mazowieckie,51.528311907456775,20.672453614962457,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26701,Podczerwone,village,Czarny Dunajec,nowotarski,małopolskie,49.4067492629296,19.827974227423,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26702,Poddubówek,village,Suwałki,suwalski,podlaskie,54.04617106368598,22.884765257399497,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26703,Poddąbrowa,village,Miączyn,zamojski,lubelskie,50.69520130697547,23.55944397536242,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26704,Poddębice,village,Włocławek,włocławski,kujawsko-pomorskie,52.5521172296648,19.0176081007391,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26705,Poddębice,city,Poddębice,poddębicki,łódzkie,51.8930226634932,18.9550008654666,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26706,Poddębie,village,Wieliszew,legionowski,mazowieckie,52.48106380374561,20.90749081016835,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26707,Poddębno,village,Babiak,kolski,wielkopolskie,52.292936697555,18.688480301138,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26708,Poddębowiec,village,Staszów,staszowski,świętokrzyskie,50.616260906512565,21.179265432412084,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26709,Podebłocie,village,Trojanów,garwoliński,mazowieckie,51.64012924,21.74320051,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26710,Podedwórze,village,Podedwórze,parczewski,lubelskie,51.68800512630651,23.199608135559416,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26711,Podegrodzie,village,Podegrodzie,nowosądecki,małopolskie,49.57601438421152,20.58900353368682,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26712,Podemszczyzna,village,Horyniec-Zdrój,lubaczowski,podkarpackie,50.2217646089504,23.294688370606565,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26713,Podewsie,village,Łopuszno,kielecki,świętokrzyskie,50.9667092592072,20.3474005274847,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26714,Podfranciszkany,village,Nowy Kawęczyn,skierniewicki,łódzkie,51.9012604745797,20.2021892122862,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26715,Podgace,village,Strawczyn,kielecki,świętokrzyskie,50.9611314165144,20.4649738006239,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26716,Podgaj,village,Łuków,łukowski,lubelskie,51.90720497800231,22.41038874824592,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
